countryId,personId,name,single_seconds
Germany,2013GERH01,Kevin Gerhardt,4.49
Germany,2010WEYE01,Philipp Weyer,4.76
Germany,2009DIEC01,Cornelius Dieckmann,4.77
Germany,2014GERB01,Henri Gerber,4.98
Germany,2019PILH01,Jonas Pilhfer,5.01
Germany,2016DHIM01,Tanish Dhiman,5.12
Germany,2022CRAM02,Justus Leander Cramer,5.3
Germany,2022MULL02,Imanuel Mller,5.33
Germany,2014FRIT02,Oliver Fritz,5.33
Ghana,2020GYAS01,Ransford Gyasi,8.41
Ghana,2025KOME01,Edwin Nii Ayitey Komey,11.38
Ghana,2017ORTH02,Benjamin Orthner,11.92
Ghana,2023EGYI01,Gavriel Badu Egyir,13.06
Ghana,2022HAMM04,Zaffery Hammond-Aryee,13.07
Ghana,2025TEVI01,Denzil Makafui Tevie,14.75
Ghana,2019DANK01,Peter Nyarko Dankwa,16.11
Ghana,2025MBRO01,Ethan Osae Mbrokoh,18.57
Ghana,2025AKAN02,Yanis Akanko,20.7
Ghana,2025AKOT01,Nicholas Yayra Akoto,21.17
Greece,2012PATE01,Antonie Paterakis,4.7
Greece,2017PRIG01,Vasilis Prigkos,4.92
Greece,2023NIKO07,Ilias Nikolaou,5.4
Greece,2013TOLA01,Richard Tola,5.55
Greece,2016GRIG02,Giannis Grigoropoulos,5.57
Greece,2022TOPO03,Konstantinos Topouzidis,5.69
Greece,2023TSIL02,George Tsilimenis,6.28
Greece,2015MULO01,Athanasios Iasonas Mylonas,6.41
Greece,2019ZIKO01,Nikolaos Zikos,6.45
Greece,2023KOUT03,Nikolaos Koutsivos,6.52
Grenada,2019AYOU01,Kamel Ayoub,42.86
Guatemala,2017ARRE04,Brian Bernab Bolaos Arreaga,5.68
Guatemala,2019RODR66,Shalm Melquisedec Batz Rodrguez,5.78
Guatemala,2019LOPE16,Efrain Lopez,6.14
Guatemala,2018MALD02,Jose Javier Melendez Maldonado,6.25
Guatemala,2018SIQU01,Javier Siquit,6.8
Guatemala,2017CRUZ10,Jefferson Antonio Morales Cruz,7.56
Guatemala,2014BARR02,Gabriel Barrios,7.61
Guatemala,2022RAMI03,Carlos Luis Guerra Ramrez,7.63
Guatemala,2023GOME70,Jose Pablo Morales Gomez,7.71
Guatemala,2017LEIV01,Josue Leiva,7.81
Guyana,2018KHAN17,Benicio Warwick Khan,12.08
Haiti,2015PERC01,Fan Derlentz Perceval,8.44
Honduras,2018VIND01,Miguel Angel Edelman Vindel,7.01
Honduras,2022HERN10,Fares Daniel Flores Hernndez,8.47
Honduras,2022ALVA07,Harry Daniels Aguilar Alvarado,9.1
Honduras,2023MEJI09,Jos Adonis Lemus Meja,9.1
Honduras,2017MART93,Jos Lisandro Velsquez Martnez,9.48
Honduras,2022RAMO04,Elias Antonio Alvarez Ramos,9.57
Honduras,2017ALVA32,Danniel Andrs Orellana Alvarado,9.74
Honduras,2023SERM02,Ivan Arnoldo Navarrete Sermeo,10.42
